
Currently Loaded Modules:
  1) gcc/11.2.0   2) anaconda3/2021.05   3) cuda/11.7.0   4) cudnn/8.4.1.50

 

job is starting on gpub019.delta.internal.ncsa.edu
2022-07-28 00:02:14.897622: I tensorflow/core/platform/cpu_feature_guard.cc:151] This TensorFlow binary is optimized with oneAPI Deep Neural Network Library (oneDNN) to use the following CPU instructions in performance-critical operations:  AVX2 FMA
To enable them in other operations, rebuild TensorFlow with the appropriate compiler flags.
2022-07-28 00:02:22.677367: I tensorflow/core/common_runtime/gpu/gpu_device.cc:1525] Created device /job:localhost/replica:0/task:0/device:GPU:0 with 43525 MB memory:  -> device: 0, name: NVIDIA A40, pci bus id: 0000:c7:00.0, compute capability: 8.6
2022-07-28 00:02:43.479726: I tensorflow/stream_executor/cuda/cuda_dnn.cc:368] Loaded cuDNN version 8401
raw directories:
/u/skhan/stem-learning/data/STO/STO_0/exp_1K/
/u/skhan/stem-learning/data/STO/STO_0/sim_1K/
256 directories:
/u/skhan/stem-learning/data/STO/STO_0/exp_1K_256_slices/
/u/skhan/stem-learning/data/STO/STO_0/sim_1K_gauss_0.8_256_slices/
parsing directories
loading checkpoint  /u/skhan/stem-learning/cycle_gan_results/checkpoints/checkpoint_20220727_MODEL_unet_ident_gen_fft_10_SIM_pristine_gaussian_0.8_EXP_STO_0/ckpt-1
Latest checkpoint restored!
batch_idxs =  224
total epochs =  53.0
loading at epoch  4
4 0.002
[0/224]: 0.907700742994036
[1/224]: 0.1078566142490932
[2/224]: 0.06276920863560267
[3/224]: 0.060614960534232
[4/224]: 0.057756844021025155
[5/224]: 0.058391412099202476
[6/224]: 0.05772511732010614
[7/224]: 0.05757086617606027
[8/224]: 0.05601878960927328
[9/224]: 0.05538755371457055
[10/224]: 0.05718209629967099
[11/224]: 0.058360088439214794
[12/224]: 0.0583863201595488
[13/224]: 0.056670427322387695
[14/224]: 0.05710434913635254
[15/224]: 0.05991053013574509
[16/224]: 0.061570383253551665
[17/224]: 0.05900615737551734
[18/224]: 0.06034850506555466
[19/224]: 0.06406058016277495
[20/224]: 0.06879091262817383
[21/224]: 0.07687651543390184
[22/224]: 0.068246671131679
[23/224]: 0.05966803005763462
[24/224]: 0.061683183624630884
[25/224]: 0.06010871841793969
[26/224]: 0.05808822881607782
[27/224]: 0.05966123512813023
[28/224]: 0.05858227184840611
[29/224]: 0.058588748886471705
[30/224]: 0.05641715299515497
[31/224]: 0.05531764030456543
[32/224]: 0.06518927074614025
[33/224]: 0.09089399519420806
[34/224]: 0.0557930242447626
[35/224]: 0.05703123410542806
[36/224]: 0.05504675138564337
[37/224]: 0.05551279726482573
[38/224]: 0.05724243890671503
[39/224]: 0.05599017937978109
[40/224]: 0.06064295768737793
[41/224]: 0.056908732368832544
[42/224]: 0.05736203988393148
[43/224]: 0.061198546772911436
[44/224]: 0.058240254720052086
[45/224]: 0.05551816168285552
[46/224]: 0.057448744773864746
[47/224]: 0.05799220857166108
[48/224]: 0.06039619445800781
[49/224]: 0.05558417524610247
[50/224]: 0.05707871913909912
[51/224]: 0.056440268244062154
[52/224]: 0.05545083114079067
[53/224]: 0.055696816671462285
[54/224]: 0.06415667420341856
[55/224]: 0.05695751167479016
[56/224]: 0.054128130276997886
[57/224]: 0.05800835291544596
[58/224]: 0.05871166501726423
[59/224]: 0.11836596330006917
[60/224]: 0.05738732928321475
[61/224]: 0.058899425324939546
[62/224]: 0.05646822566077823
[63/224]: 0.05558405603681292
[64/224]: 0.05535768327258882
[65/224]: 0.05566367648896717
[66/224]: 0.05497645196460542
[67/224]: 0.06959354877471924
[68/224]: 0.07860882509322394
[69/224]: 0.054349570047287715
[70/224]: 0.05812728404998779
[71/224]: 0.06377174740745908
[72/224]: 0.057954958506992886
[73/224]: 0.05629918688819522
[74/224]: 0.057649061793372744
[75/224]: 0.059983923321678526
[76/224]: 0.0568905444372268
[77/224]: 0.0561455317905971
[78/224]: 0.05737748032524472
[79/224]: 0.05668384120577857
[80/224]: 0.05967702752067929
[81/224]: 0.05583079088301886
[82/224]: 0.05769582589467367
[83/224]: 0.055638091904776435
[84/224]: 0.05937089238848005
[85/224]: 0.07172255288986933
[86/224]: 0.0583231562659854
[87/224]: 0.056851466496785484
[88/224]: 0.06394734836760022
[89/224]: 0.05455056258610317
[90/224]: 0.05711775734311059
[91/224]: 0.05809875329335531
[92/224]: 0.05764806838262649
[93/224]: 0.05604351702190581
[94/224]: 0.055892546971639
[95/224]: 0.06614580608549572
[96/224]: 0.06102080572219122
[97/224]: 0.05769283998580206
[98/224]: 0.057264435858953563
[99/224]: 0.05802251611437116
[100/224]: 0.05446876230693999
[101/224]: 0.056537321635654995
[102/224]: 0.055588546253385995
[103/224]: 0.058109805697486513
[104/224]: 0.06186337698073614
[105/224]: 0.055033030964079355
[106/224]: 0.05715751647949219
[107/224]: 0.057380239168802895
[108/224]: 0.05640597002846854
[109/224]: 0.05722960403987339
[110/224]: 0.05907661574227469
[111/224]: 0.08011543183099656
[112/224]: 0.05693938050951276
[113/224]: 0.05923298994700114
[114/224]: 0.05745782738640195
[115/224]: 0.05527358395712716
[116/224]: 0.0570470548811413
[117/224]: 0.05982729366847447
[118/224]: 0.055586837586902436
[119/224]: 0.06044840245019822
[120/224]: 0.05880049296787807
[121/224]: 0.056631252879188174
[122/224]: 0.05888678914024716
[123/224]: 0.06438969998132615
[124/224]: 0.05596898283277239
[125/224]: 0.05691553865160261
[126/224]: 0.05705949238368443
[127/224]: 0.0571121545065017
[128/224]: 0.05851016158149356
[129/224]: 0.061516432535080684
[130/224]: 0.058234061513628275
[131/224]: 0.0657960573832194
[132/224]: 0.05726165430886405
[133/224]: 0.05581106458391462
[134/224]: 0.05889314129239037
[135/224]: 0.06218145007178897
[136/224]: 0.06523149921780541
[137/224]: 0.07970646449497767
[138/224]: 0.059714731715974356
[139/224]: 0.06382026558830625
[140/224]: 0.0593918278103783
[141/224]: 0.06097095920926049
[142/224]: 0.0559299559820266
[143/224]: 0.058806714557466055
[144/224]: 0.057163692656017485
[145/224]: 0.056433859325590585
[146/224]: 0.05799212342216855
[147/224]: 0.05627939246949695
[148/224]: 0.05950896512894403
[149/224]: 0.057308384350367954
[150/224]: 0.05621735822586786
[151/224]: 0.062422780763535274
[152/224]: 0.06024172192528134
[153/224]: 0.05648259889511835
[154/224]: 0.055549122038341704
[155/224]: 0.05789796511332194
[156/224]: 0.06256607600620814
[157/224]: 0.05707234428042457
[158/224]: 0.0566638537815639
[159/224]: 0.057944564592270625
[160/224]: 0.06172800064086914
[161/224]: 0.058077392123994376
[162/224]: 0.05723319167182559
[163/224]: 0.05760317189352853
[164/224]: 0.057838269642421176
[165/224]: 0.057146117800758
[166/224]: 0.0580269041515532
[167/224]: 0.05758649394625709
[168/224]: 0.0566447859718686
[169/224]: 0.05925151847657703
[170/224]: 0.056230840228852774
[171/224]: 0.05610338846842448
[172/224]: 0.05921993369147891
[173/224]: 0.0613407918385097
[174/224]: 0.057750514575413296
[175/224]: 0.0591875882375808
[176/224]: 0.057980707713535855
